customer_id,month,year,month_date,total_credits,total_debits,payroll_paid,operating_expenses,tax_payments,existing_emi,operating_surplus,avg_daily_balance,dscr,cheque_returns,cash_withdrawals
CUST_001,1,2024,2024-01-01,317007,380116,109814,142653,38040,89609,-63109,657631,2.12,0,15850
CUST_001,2,2024,2024-02-01,303652,349265,86575,136643,36438,89609,-45613,887719,2.03,0,15182
CUST_001,3,2024,2024-03-01,349846,386147,97127,157430,41981,89609,-36301,834151,2.34,0,17492
CUST_001,4,2024,2024-04-01,319980,368964,96967,143991,38397,89609,-48984,845542,2.14,0,15999
CUST_001,5,2024,2024-05-01,328296,373871,97134,147733,39395,89609,-45575,618291,2.2,0,16414
CUST_001,6,2024,2024-06-01,296916,341621,82771,133612,35629,89609,-44705,865454,1.99,0,14845
CUST_001,7,2024,2024-07-01,277720,342473,94564,124974,33326,89609,-64753,619483,1.86,0,13886
CUST_001,8,2024,2024-08-01,324336,377712,103232,145951,38920,89609,-53376,844386,2.17,0,16216
CUST_001,9,2024,2024-09-01,340846,397830,113940,153380,40901,89609,-56984,645920,2.28,0,17042
CUST_001,10,2024,2024-10-01,322543,370070,96612,145144,38705,89609,-47527,600958,2.16,0,16127
CUST_001,11,2024,2024-11-01,256561,324357,88509,115452,30787,89609,-67796,699786,1.72,0,12828
CUST_001,12,2024,2024-12-01,308219,345689,80396,138698,36986,89609,-37470,672535,2.06,0,15410
CUST_002,1,2024,2024-01-01,176408,231220,48587,79383,21168,82082,-54812,131896,1.29,0,8820
CUST_002,2,2024,2024-02-01,126600,190858,36614,56970,15192,82082,-64258,159741,0.93,0,6330
CUST_002,3,2024,2024-03-01,178772,220925,36944,80447,21452,82082,-42153,100399,1.31,2,8938
CUST_002,4,2024,2024-04-01,144997,202044,37315,65248,17399,82082,-57047,139148,1.06,0,7249
CUST_002,5,2024,2024-05-01,145151,212244,47427,65317,17418,82082,-67093,116799,1.06,1,7257
CUST_002,6,2024,2024-06-01,143817,198004,33947,64717,17258,82082,-54187,212500,1.05,0,7190
CUST_002,7,2024,2024-07-01,146263,212680,47229,65818,17551,82082,-66417,223298,1.07,0,7313
CUST_002,8,2024,2024-08-01,147210,215613,49622,66244,17665,82082,-68403,249634,1.08,0,7360
CUST_002,9,2024,2024-09-01,130842,201266,44605,58878,15701,82082,-70424,215634,0.96,1,6542
CUST_002,10,2024,2024-10-01,170075,215470,36446,76533,20409,82082,-45395,164521,1.24,0,8503
CUST_002,11,2024,2024-11-01,139309,203060,41572,62689,16717,82082,-63751,188152,1.02,1,6965
CUST_002,12,2024,2024-12-01,174602,217332,35728,78570,20952,82082,-42730,207179,1.28,2,8730
CUST_003,1,2024,2024-01-01,540000,566623,42823,243000,64800,216000,-26623,238492,1.5,0,27000
CUST_003,2,2024,2024-02-01,540000,565351,41551,243000,64800,216000,-25351,264437,1.5,0,27000
CUST_003,3,2024,2024-03-01,540000,583968,60168,243000,64800,216000,-43968,262896,1.5,0,27000
CUST_003,4,2024,2024-04-01,540000,570886,47086,243000,64800,216000,-30886,219388,1.5,0,27000
CUST_003,5,2024,2024-05-01,540000,582078,58278,243000,64800,216000,-42078,212614,1.5,0,27000
CUST_003,6,2024,2024-06-01,540000,590772,66972,243000,64800,216000,-50772,284711,1.5,0,27000
CUST_003,7,2024,2024-07-01,540000,581950,58150,243000,64800,216000,-41950,230746,1.5,0,27000
CUST_003,8,2024,2024-08-01,540000,587109,63309,243000,64800,216000,-47109,387285,1.5,0,27000
CUST_003,9,2024,2024-09-01,540000,581983,58183,243000,64800,216000,-41983,384193,1.5,0,27000
CUST_003,10,2024,2024-10-01,540000,566238,42438,243000,64800,216000,-26238,346117,1.5,0,27000
CUST_003,11,2024,2024-11-01,540000,579876,56076,243000,64800,216000,-39876,266659,1.5,0,27000
CUST_003,12,2024,2024-12-01,540000,578629,54829,243000,64800,216000,-38629,240287,1.5,0,27000
CUST_004,1,2024,2024-01-01,423403,575148,170080,190531,50808,163729,-151745,298231,1.55,0,84680
CUST_004,2,2024,2024-02-01,355793,484312,117782,160106,42695,163729,-128519,239048,1.3,0,71158
CUST_004,3,2024,2024-03-01,363200,481127,110374,163440,43584,163729,-117927,282831,1.33,0,72640
CUST_004,4,2024,2024-04-01,425620,553661,147329,191529,51074,163729,-128041,232939,1.56,0,85124
CUST_004,5,2024,2024-05-01,291108,453042,123383,130998,34932,163729,-161934,245723,1.07,0,58221
CUST_004,6,2024,2024-06-01,380995,516710,135815,171447,45719,163729,-135715,195127,1.4,0,76199
CUST_004,7,2024,2024-07-01,377135,500483,121788,169710,45256,163729,-123348,290129,1.38,0,75427
CUST_004,8,2024,2024-08-01,414425,519215,119264,186491,49731,163729,-104790,275225,1.52,0,82885
CUST_004,9,2024,2024-09-01,400862,514882,122663,180387,48103,163729,-114020,219175,1.47,0,80172
CUST_004,10,2024,2024-10-01,380364,507491,126956,171163,45643,163729,-127127,258858,1.39,0,76072
CUST_004,11,2024,2024-11-01,401063,529475,137141,180478,48127,163729,-128412,237478,1.47,2,80212
CUST_004,12,2024,2024-12-01,377946,554247,175090,170075,45353,163729,-176301,291735,1.39,0,75589
CUST_005,1,2024,2024-01-01,420925,592549,194426,189416,50511,158196,-171624,918681,1.6,0,21046
CUST_005,2,2024,2024-02-01,442895,589364,178719,199302,53147,158196,-146469,1146461,1.68,0,22144
CUST_005,3,2024,2024-03-01,544819,625179,156437,245168,65378,158196,-80360,958481,2.07,0,27240
CUST_005,4,2024,2024-04-01,471769,643425,216321,212296,56612,158196,-171656,1183716,1.79,0,23588
CUST_005,5,2024,2024-05-01,473121,630812,202938,212904,56774,158196,-157691,1023752,1.79,0,23656
CUST_005,6,2024,2024-06-01,449210,611535,197290,202144,53905,158196,-162325,1041113,1.7,0,22460
CUST_005,7,2024,2024-07-01,476765,610506,180555,214544,57211,158196,-133741,1035684,1.81,0,23838
CUST_005,8,2024,2024-08-01,416220,593827,198386,187299,49946,158196,-177607,1121057,1.58,0,20811
CUST_005,9,2024,2024-09-01,488918,646689,209810,220013,58670,158196,-157771,1254198,1.85,0,24445
CUST_005,10,2024,2024-10-01,450169,625054,210262,202576,54020,158196,-174885,1239021,1.71,0,22508
CUST_005,11,2024,2024-11-01,552939,651687,178317,248822,66352,158196,-98748,1007850,2.1,0,27646
CUST_005,12,2024,2024-12-01,480295,636407,204444,216132,57635,158196,-156112,981272,1.82,0,24014
CUST_006,1,2024,2024-01-01,297873,310893,60030,134042,35744,81077,-13020,568734,2.2,0,14893
CUST_006,2,2024,2024-02-01,360021,385017,98729,162009,43202,81077,-24996,590432,2.66,0,18001
