customer_id,date,day_of_week,collections,num_transactions,avg_ticket_size
CUST_001,2024-01-01,Monday,4250,80,53
CUST_001,2024-01-02,Tuesday,4602,107,43
CUST_001,2024-01-03,Wednesday,4688,93,50
CUST_001,2024-01-04,Thursday,3141,84,37
CUST_001,2024-01-05,Friday,4775,119,40
CUST_001,2024-01-06,Saturday,2802,106,26
CUST_001,2024-01-07,Sunday,2604,106,24
CUST_001,2024-01-08,Monday,3401,81,41
CUST_001,2024-01-09,Tuesday,3054,98,31
CUST_001,2024-01-10,Wednesday,2491,88,28
CUST_001,2024-01-11,Thursday,5285,82,64
CUST_001,2024-01-12,Friday,3273,118,27
CUST_001,2024-01-13,Saturday,2942,117,25
CUST_001,2024-01-14,Sunday,2273,118,19
CUST_001,2024-01-15,Monday,4313,97,44
CUST_001,2024-01-16,Tuesday,2689,107,25
CUST_001,2024-01-17,Wednesday,5779,84,68
CUST_001,2024-01-18,Thursday,2987,91,32
CUST_001,2024-01-19,Friday,3632,113,32
CUST_001,2024-01-20,Saturday,2241,113,19
CUST_001,2024-01-21,Sunday,2695,97,27
CUST_001,2024-01-22,Monday,3847,98,39
CUST_001,2024-01-23,Tuesday,4820,101,47
CUST_001,2024-01-24,Wednesday,3228,112,28
CUST_001,2024-01-25,Thursday,3720,120,31
CUST_001,2024-01-26,Friday,4688,80,58
CUST_001,2024-01-27,Saturday,3357,114,29
CUST_001,2024-01-28,Sunday,3423,95,36
CUST_001,2024-01-29,Monday,5181,97,53
CUST_001,2024-01-30,Tuesday,3917,105,37
